"","","","liverpool","nottingham","bristol","northeast","greatermanchester","sheffield","westmidlands","leeds","london"
"motorway","car","2005","1229758.438","614009.351","2435530.9375","711799.6035","4594737.2015","2186202.2115","2079280.024","2987754.2565","1533714.7065"
"other","car","2005","2892546.1381","3467827.916","2113563.8535","6068183.3854","4685699.764","2747608.0691","4105080.2261","4724036.955","14364760.62805"
"motorway","car","2006","1293054.5845","655929.017","2445001.4465","741002.779","4582285.482","2203266.4725","2070943.0955","3155415.145","1661461.2755"
"other","car","2006","2895324.00345","3513415.1385","2129929.9425","6144122.36175","4701473.093","2726089.6547","4091295.0448","4778372.0887","14217127.34065"
"motorway","car","2007","1284322.799","664106.696","2503848.535","790291.3935","4654877.704","2176587.5275","2109576.338","3206112.3675","1609547.216"
"other","car","2007","2874447.2335","3496831.327","2116182.108","6166387.29605","4652529.586","2725653.5235","4067006.952","4738355.65315","13772691.584"
"motorway","car","2008","1348935.172","582962.3415","2529006.8535","761630.535","4573707.1425","2163313.098","2049144.7115","3179378.9645","1690737.9255"
"other","car","2008","2855066.81025","3428747.512","2101711.829","6081278.86635","4617801.6975","2696485.7165","3957183.7445","4682412.3696","13426956.357"
"motorway","car","2009","1333568.599","603547.9765","2504841.9555","764532.6865","4734441.3895","2182012.048","2071634.3325","3134197.549","1740316.4595"
"other","car","2009","2885488.958","3448225.007","2083472.3045","6105464.208","4673073.1","2715429.2895","4040079.88","4699173.885","13575450.256"
"motorway","car","2010","1346184.0575","632986.7595","2503991.8705","742799.455","4643365.75","2169085.208","2094524.395","3108620.7215","1705832.245"
"other","car","2010","2800041.5455","3429146.9315","2018017.5845","6062039.282","4578331.802","2659884.9765","3950070.515","4631213.659","13700366.25"
"motorway","car","2011","1378173.0225","645357.4125","2509570.7495","755910.6565","4721672.0105","2193287.5915","2208949.048","3146075.7805","1623654.539"
"other","car","2011","2834858.64","3476648.944","2040669.156","6118705.094","4594135.3895","2660782.2925","4023700.2495","4644368.2225","13168180.92"
"motorway","car","2012","1328678.402","677525.045","2448567.7155","808588.369","4703426.5365","2189931.8545","2251125.4915","3037525.71125","1717203.893"
"other","car","2012","2805053.62695","3511526.7745","2026302.756","6080137.9311","4546355.95875","2625459.4978","3995015.1112","4590488.21095","12750066.11635"
"motorway","car","2013","1351299.3865","648566.2005","2475222.096","815435.9515","4721605.909","2192042.686","2180414.516","3062211.154","1687412.739"
"other","car","2013","2792978.832","3508560.25525","2035334.2795","6121288.4691","4493080.8325","2619162.9996","3933387.93815","4558473.5317","12787509.61945"
"motorway","car","2014","1401091.774","629609.232","2547583.273","804892.6345","4726641.96","2183481.976","2317937.2815","3287439.02125","1752354.196"
"other","car","2014","2807031.0838","3586318.76025","2066127.3585","6182751.6659","4517192.9515","2655429.4799","4004555.5688","4638004.2796","12828111.81065"
